player_id,created_at,first_name,full_name,last_name,position,team_id,updated_at
1,2026-07-12 23:07:35.604308+00,Ryan,Ryan Thompson,Thompson,RP,1,2026-07-13 02:15:46.041553+00
3,2026-07-12 20:32:35.70697+00,Gabriel,Gabriel Moreno,Moreno,C,1,2026-07-13 02:15:46.041553+00
4,2026-07-12 20:32:59.907782+00,Lourdes,Lourdes Gurriel Jr.,Gurriel Jr.,LF,1,2026-07-13 02:15:46.041553+00
5,2026-07-12 20:19:02.46601+00,Geraldo,Geraldo Perdomo,Perdomo,SS,1,2026-07-13 02:15:46.041553+00
22,2026-07-12 20:10:59.516511+00,Ketel,Ketel Marte,Marte,2B,1,2026-07-13 02:15:46.041553+00
23,2026-07-12 20:20:35.464829+00,Corbin,Corbin Carroll,Carroll,RF,1,2026-07-13 02:15:46.041553+00
26,2026-07-12 23:07:35.604308+00,Kevin,Kevin Ginkel,Ginkel,RP,1,2026-07-13 02:15:46.041553+00
105,2026-07-11 16:17:06.939766+00,Brandon,Brandon Lowe,Lowe,2B,22,2026-07-13 02:15:46.041553+00
118,2026-07-12 20:28:02.249931+00,Mookie,Mookie Betts,Betts,SS,14,2026-07-13 02:15:46.041553+00
130,2026-07-12 20:26:35.356883+00,Freddie,Freddie Freeman,Freeman,1B,14,2026-07-13 02:15:46.041553+00
142,2026-07-12 20:46:12.30425+00,Max,Max Muncy,Muncy,3B,14,2026-07-13 02:15:46.041553+00
154,2026-07-11 19:00:36.88535+00,Bryse,Bryse Wilson,Wilson,RP,16,2026-07-13 02:15:46.041553+00
160,2026-07-12 20:42:11.145888+00,Tommy,Tommy Edman,Edman,LF,14,2026-07-13 02:15:46.041553+00
168,2026-07-11 16:35:07.566564+00,William,William Contreras,Contreras,C,16,2026-07-13 02:15:46.041553+00
176,2026-07-12 20:25:35.521633+00,Andy,Andy Pages,Pages,CF,14,2026-07-13 02:15:46.041553+00
183,2026-07-12 20:36:14.291084+00,Ildemaro,Ildemaro Vargas,Vargas,1B,1,2026-07-13 02:15:46.041553+00
207,2026-07-11 16:38:06.917248+00,Jake,Jake Bauers,Bauers,1B,16,2026-07-13 02:15:46.041553+00
208,2026-07-12 20:24:35.68323+00,Shohei,Shohei Ohtani,Ohtani,DH,14,2026-07-13 02:15:46.041553+00
260,2026-07-11 16:54:07.017116+00,Joey,Joey Ortiz,Ortiz,SS,16,2026-07-13 02:15:46.041553+00
266,2026-07-11 16:12:06.681306+00,Brice,Brice Turang,Turang,2B,16,2026-07-13 02:15:46.041553+00
274,2026-07-11 19:00:36.88535+00,Jackson,Jackson Chourio,Chourio,LF,16,2026-07-13 02:15:46.041553+00
297,2026-07-11 16:40:06.884839+00,Sal,Sal Frelick,Frelick,RF,16,2026-07-13 02:15:46.041553+00
318,2026-07-11 16:10:06.592748+00,Garrett,Garrett Mitchell,Mitchell,CF,16,2026-07-13 02:15:46.041553+00
402,2026-07-12 20:37:13.606944+00,Nolan,Nolan Arenado,Arenado,3B,1,2026-07-13 02:15:46.041553+00
543,2026-07-11 16:08:35.956647+00,Braxton,Braxton Ashcraft,Ashcraft,SP,22,2026-07-13 02:15:46.041553+00
