id,away_score,backfilled,balls,batter_id,observed_at,game_id,home_score,inning,inning_type,outs,pitcher_id,play_order,runner_on_first,runner_on_second,runner_on_third,score_value,scoring_play,source,strikes,text,type
608,0,f,0,,2026-07-12 20:10:59.516511+00,5059222,0,1,Top,0,,242614059,,,,,f,S3_LIVE_ARCHIVE,0,Top of the 1st inning,Start Inning
609,0,f,0,22,2026-07-12 20:10:59.516511+00,5059222,0,1,Top,0,5460,242614060,,,,,f,S3_LIVE_ARCHIVE,0,Emmet Sheehan pitches to Ketel Marte,Start Batter/Pitcher
610,0,f,0,22,2026-07-12 20:12:00.270902+00,5059222,0,1,Top,0,5460,242619115,,,,,f,S3_LIVE_ARCHIVE,0,Pitch 1 : Ball 1,Ball
611,0,f,1,22,2026-07-12 20:12:00.270902+00,5059222,0,1,Top,0,5460,242619116,,,,,f,S3_LIVE_ARCHIVE,0,Pitch 2 : Strike 1 Swinging,Strike Swinging
612,0,f,1,22,2026-07-12 20:12:59.823324+00,5059222,0,1,Top,0,5460,242624321,,,,,f,S3_LIVE_ARCHIVE,1,Pitch 3 : Strike 2 Looking,Strike Looking
613,0,f,1,22,2026-07-12 20:12:59.823324+00,5059222,0,1,Top,0,5460,242624322,,,,,f,S3_LIVE_ARCHIVE,2,Pitch 4 : Strike 2 Foul,Foul Ball
614,0,f,1,22,2026-07-12 20:13:59.584241+00,5059222,0,1,Top,0,5460,242629569,,,,,f,S3_LIVE_ARCHIVE,2,Pitch 5 : Strike 2 Foul,Foul Ball
615,0,f,1,22,2026-07-12 20:15:01.862548+00,5059222,0,1,Top,0,5460,242634860,,,,,f,S3_LIVE_ARCHIVE,2,Pitch 6 : Ball 2,Ball
616,0,f,2,22,2026-07-12 20:15:01.862548+00,5059222,0,1,Top,0,5460,242634861,,,,,f,S3_LIVE_ARCHIVE,2,Pitch 7 : Strike 2 Foul,Foul Ball
617,0,f,2,22,2026-07-12 20:15:59.99306+00,5059222,0,1,Top,0,5460,242640189,,,,,f,S3_LIVE_ARCHIVE,2,Pitch 8 : Strike 2 Foul,Foul Ball
618,0,f,2,22,2026-07-12 20:15:59.99306+00,5059222,0,1,Top,0,5460,242640190,,,,,f,S3_LIVE_ARCHIVE,2,Pitch 9 : Strike 2 Foul,Foul Ball
619,0,f,2,22,2026-07-12 20:15:59.99306+00,5059222,0,1,Top,0,5460,242640191,,,,,f,S3_LIVE_ARCHIVE,2,Pitch 10 : Strike 2 Foul,Foul Ball
620,0,f,2,22,2026-07-12 20:17:01.042179+00,5059222,0,1,Top,0,5460,242646944,,,,,f,S3_LIVE_ARCHIVE,2,Pitch 11 : Strike 2 Foul,Foul Ball
621,0,f,2,22,2026-07-12 20:18:01.923727+00,5059222,0,1,Top,0,5460,242652335,,,,,f,S3_LIVE_ARCHIVE,2,Pitch 12 : Strike 2 Foul,Foul Ball
622,0,f,2,22,2026-07-12 20:18:01.923727+00,5059222,0,1,Top,0,5460,242652336,,,,,f,S3_LIVE_ARCHIVE,2,Pitch 13 : Strike 2 Foul,Foul Ball
623,0,f,2,22,2026-07-12 20:19:02.46601+00,5059222,0,1,Top,1,5460,242659953,,,,,f,S3_LIVE_ARCHIVE,2,Pitch 14 : Strike 3 Swinging,Strike Swinging
624,0,f,2,22,2026-07-12 20:19:02.46601+00,5059222,0,1,Top,1,5460,242659954,,,,,f,S3_LIVE_ARCHIVE,3,Marte struck out swinging.,Play Result
625,0,f,2,22,2026-07-12 20:19:02.46601+00,5059222,0,1,Top,1,5460,242659955,,,,,f,S3_LIVE_ARCHIVE,3,,End Batter/Pitcher
626,0,f,0,5,2026-07-12 20:19:02.46601+00,5059222,0,1,Top,1,5460,242659956,,,,,f,S3_LIVE_ARCHIVE,0,Emmet Sheehan pitches to Geraldo Perdomo,Start Batter/Pitcher
627,0,f,0,5,2026-07-12 20:19:02.46601+00,5059222,0,1,Top,1,5460,242659957,,,,,f,S3_LIVE_ARCHIVE,0,Pitch 1 : Strike 1 Looking,Strike Looking
628,0,f,0,5,2026-07-12 20:20:35.464829+00,5059222,0,1,Top,2,5460,242664702,,,,,f,S3_LIVE_ARCHIVE,1,Pitch 2 : Strike 2 Foul,Foul Ball
629,0,f,0,5,2026-07-12 20:20:35.464829+00,5059222,0,1,Top,2,5460,242664703,,,,,f,S3_LIVE_ARCHIVE,2,Pitch 3 : Strike 3 Swinging,Strike Swinging
630,0,f,0,5,2026-07-12 20:20:35.464829+00,5059222,0,1,Top,2,5460,242664704,,,,,f,S3_LIVE_ARCHIVE,3,Perdomo struck out swinging.,Play Result
631,0,f,0,5,2026-07-12 20:20:35.464829+00,5059222,0,1,Top,2,5460,242664705,,,,,f,S3_LIVE_ARCHIVE,3,,End Batter/Pitcher
632,0,f,0,23,2026-07-12 20:20:35.464829+00,5059222,0,1,Top,2,5460,242664706,,,,,f,S3_LIVE_ARCHIVE,0,Emmet Sheehan pitches to Corbin Carroll,Start Batter/Pitcher
633,0,f,0,23,2026-07-12 20:21:35.274285+00,5059222,0,1,Top,2,5460,242670181,,,,,f,S3_LIVE_ARCHIVE,0,Pitch 1 : Ball 1,Ball
634,0,f,1,23,2026-07-12 20:21:35.274285+00,5059222,0,1,Top,2,5460,242670182,,,,,f,S3_LIVE_ARCHIVE,0,Pitch 2 : Strike 1 Looking,Strike Looking
635,0,f,1,23,2026-07-12 20:21:35.274285+00,5059222,0,1,Top,2,5460,242670183,,,,,f,S3_LIVE_ARCHIVE,1,Pitch 3 : Ball 2,Ball
636,0,f,2,23,2026-07-12 20:22:35.344971+00,5059222,0,1,Top,3,5460,242674325,,,,,f,S3_LIVE_ARCHIVE,1,Pitch 4 : Strike 2 Foul,Foul Ball
637,0,f,2,23,2026-07-12 20:22:35.344971+00,5059222,0,1,Top,3,5460,242674326,,,,,f,S3_LIVE_ARCHIVE,2,Pitch 5 : Strike 3 Swinging,Strike Swinging
638,0,f,2,23,2026-07-12 20:22:35.344971+00,5059222,0,1,Top,3,5460,242674327,,,,,f,S3_LIVE_ARCHIVE,3,Carroll struck out swinging.,Play Result
639,0,f,2,23,2026-07-12 20:22:35.344971+00,5059222,0,1,Top,3,5460,242674328,,,,,f,S3_LIVE_ARCHIVE,3,,End Batter/Pitcher
640,0,f,0,,2026-07-12 20:22:35.344971+00,5059222,0,1,Mid,0,,242674329,,,,,f,S3_LIVE_ARCHIVE,0,Middle of the 1st inning,End Inning
641,0,f,0,,2026-07-12 20:24:35.68323+00,5059222,0,1,Bottom,0,,242685362,,,,,f,S3_LIVE_ARCHIVE,0,Bottom of the 1st inning,Start Inning
642,0,f,0,208,2026-07-12 20:24:35.68323+00,5059222,0,1,Bottom,0,4667266,242685363,,,,,f,S3_LIVE_ARCHIVE,0,Mitch Bratt pitches to Shohei Ohtani,Start Batter/Pitcher
643,0,f,0,208,2026-07-12 20:25:35.521633+00,5059222,1,1,Bottom,0,4667266,242690540,,,,,f,S3_LIVE_ARCHIVE,0,Pitch 1 : Ball In Play,Home Run
644,0,f,0,208,2026-07-12 20:25:35.521633+00,5059222,1,1,Bottom,0,4667266,242690541,,,,1,t,S3_LIVE_ARCHIVE,0,Ohtani homered to center (437 feet).,Play Result
645,0,f,0,208,2026-07-12 20:25:35.521633+00,5059222,1,1,Bottom,0,4667266,242690542,,,,,f,S3_LIVE_ARCHIVE,0,,End Batter/Pitcher
