team_id,abbreviation,created_at,display_name,division,league,location,logo_team_id,name,short_display_name,slug,updated_at
-1,UNK,2026-07-13 02:15:44.940877+00,Unknown,,,,,,,,2026-07-13 02:15:44.940877+00
1,ARI,2026-07-13 02:15:44.940877+00,Arizona Diamondbacks,,,,,,,,2026-07-13 03:46:50.15282+00
2,ATL,2026-07-13 02:15:44.940877+00,Atlanta Braves,,,,,,,,2026-07-13 02:15:44.940877+00
3,BAL,2026-07-13 02:15:44.940877+00,Baltimore Orioles,,,,,,,,2026-07-13 02:15:44.940877+00
4,BOS,2026-07-13 02:15:44.940877+00,Boston Red Sox,,,,,,,,2026-07-13 02:15:44.940877+00
5,CHC,2026-07-13 02:15:44.940877+00,Chicago Cubs,,,,,,,,2026-07-13 02:15:44.940877+00
6,CHW,2026-07-13 02:15:44.940877+00,Chicago White Sox,,,,,,,,2026-07-13 02:15:44.940877+00
7,CIN,2026-07-13 02:15:44.940877+00,Cincinnati Reds,,,,,,,,2026-07-13 02:15:44.940877+00
8,CLE,2026-07-13 02:15:44.940877+00,Cleveland Guardians,,,,,,,,2026-07-13 02:15:44.940877+00
9,COL,2026-07-13 02:15:44.940877+00,Colorado Rockies,,,,,,,,2026-07-13 02:15:44.940877+00
10,DET,2026-07-13 02:15:44.940877+00,Detroit Tigers,,,,,,,,2026-07-13 02:15:44.940877+00
11,HOU,2026-07-13 02:15:44.940877+00,Houston Astros,,,,,,,,2026-07-13 02:15:44.940877+00
12,KC,2026-07-13 02:15:44.940877+00,Kansas City Royals,,,,,,,,2026-07-13 02:15:44.940877+00
13,LAA,2026-07-13 02:15:44.940877+00,Los Angeles Angels,,,,,,,,2026-07-13 02:15:44.940877+00
14,LAD,2026-07-13 02:15:44.940877+00,Los Angeles Dodgers,,,,,,,,2026-07-13 03:46:50.15282+00
15,MIA,2026-07-13 02:15:44.940877+00,Miami Marlins,,,,,,,,2026-07-13 02:15:44.940877+00
16,MIL,2026-07-13 02:15:44.940877+00,Milwaukee Brewers,,,,,,,,2026-07-13 02:15:44.940877+00
17,MIN,2026-07-13 02:15:44.940877+00,Minnesota Twins,,,,,,,,2026-07-13 02:15:44.940877+00
18,NYM,2026-07-13 02:15:44.940877+00,New York Mets,,,,,,,,2026-07-13 02:15:44.940877+00
19,NYY,2026-07-13 02:15:44.940877+00,New York Yankees,,,,,,,,2026-07-13 02:15:44.940877+00
20,OAK,2026-07-13 02:15:44.940877+00,Oakland Athletics,,,,,,,,2026-07-13 02:15:44.940877+00
21,PHI,2026-07-13 02:15:44.940877+00,Philadelphia Phillies,,,,,,,,2026-07-13 02:15:44.940877+00
22,PIT,2026-07-13 02:15:44.940877+00,Pittsburgh Pirates,,,,,,,,2026-07-13 02:15:44.940877+00
23,SD,2026-07-13 02:15:44.940877+00,San Diego Padres,,,,,,,,2026-07-13 02:15:44.940877+00
24,SF,2026-07-13 02:15:44.940877+00,San Francisco Giants,,,,,,,,2026-07-13 02:15:44.940877+00
25,SEA,2026-07-13 02:15:44.940877+00,Seattle Mariners,,,,,,,,2026-07-13 02:15:44.940877+00
26,STL,2026-07-13 02:15:44.940877+00,St. Louis Cardinals,,,,,,,,2026-07-13 02:15:44.940877+00
27,TB,2026-07-13 02:15:44.940877+00,Tampa Bay Rays,,,,,,,,2026-07-13 02:15:44.940877+00
28,TEX,2026-07-13 02:15:44.940877+00,Texas Rangers,,,,,,,,2026-07-13 02:15:44.940877+00
29,TOR,2026-07-13 02:15:44.940877+00,Toronto Blue Jays,,,,,,,,2026-07-13 02:15:44.940877+00
30,WSH,2026-07-13 02:15:44.940877+00,Washington Nationals,,,,,,,,2026-07-13 02:15:44.940877+00
