id,backfilled,base_score,computed_at,game_id,importance_multiplier,inning,inning_type,play_order,pregame_bonus,signal_contributions,source,tags,watch_score
1,f,15,2026-07-12 20:10:34.902029+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
2,f,15,2026-07-12 20:11:34.955351+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
3,f,15,2026-07-12 20:12:35.197061+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
4,f,15,2026-07-12 20:13:35.059635+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
5,f,15,2026-07-12 20:14:34.91191+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
6,f,15,2026-07-12 20:15:01.18834+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
7,f,15,2026-07-12 20:15:34.963367+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
8,f,15,2026-07-12 20:17:34.871116+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
9,f,15,2026-07-12 20:18:01.49667+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
10,f,15,2026-07-12 20:20:34.993809+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
11,f,15,2026-07-12 20:21:34.819073+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
12,f,15,2026-07-12 20:22:34.891852+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
13,f,15,2026-07-12 20:23:34.951369+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
14,f,15,2026-07-12 20:24:35.20005+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
15,f,15,2026-07-12 20:25:00.560866+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
